,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,Class,status
0,10,28,3,42,14,12,18,7,14,4,16,9,24,5,20,48,6,7,4,7,26,5,5,9,5,19,14,299,14,16,25,146,24,48,41,11,1207801,4396,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.9353333,253.9428101,0.935317695,0.893386483,0.935275972,-2.575324059,-0.693313241,0,0.001631405,0,0.001921488,0.996447107,0.001884298,0,0.002733884,0.995381818,0.168232231,0.167528099,0.169042975,0.495196694,0.337690083,0.334290083,0.328014876,4.96E-06,0.33861405,0.328954545,0.332431405,0,6.12E-05,0,0.00106281,0.998876033,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,166.7491848,193.1073353,0.875063122,0.328845136,0.727112925,-1.412274107,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,17,0.053280343,0.050937019,0.308022305,0.04975147,0.056476412,0.056491155,0.010705658,0.012559446,0.012177598,4.196231021,3.436512808,3.55706614,0.074579597,1,0,0,0,0,1,1,0,0,206,0,0,172,206,248,227,0,0,0,0,0,0,0,0,0,0,0,0.405531405,0.594468595,0,0,0,0,0,0,0,0,0,13,9,9,9,9,9,13,0,0,inactive,0
1,15,16,7,51,18,25,27,9,22,5,16,17,41,9,61,60,5,9,8,14,38,9,10,16,10,22,25,15,230,28,9,5,25,56,8,15,3285.5,219.92388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.6361237,253.8842621,0.93452096,0.892604709,0.934499383,-2.56426692,-0.825592577,0,0.003904132,0,0.001468595,0.994627273,0.0035,0,0.002166942,0.994333058,0.169294215,0.168315702,0.168659504,0.493730579,0.340826446,0.331180165,0.327989256,4.13E-06,0.32858595,0.337991736,0.333422314,0,0.000289256,0,0.00084876,0.998861983,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,172.3377129,201.4774319,0.872613177,0.328557077,0.74019784,-1.405035707,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,23,0.054782122,0.055109612,0.308765712,0.049809437,0.058288737,0.059425203,0.01118091,0.015868623,0,4.218752947,3.529098921,3.636965717,0.097299061,0,0,0,0,0,0,0,0,0,247,0,0,192,219,237,231,0,0,0,0,0,0,0,0,0,0,0,0.525821488,0.474178512,0,0,0,0,0,0,0,0,0,13,9,9,9,9,9,13,0,0,inactive,0
2,11,12,4,31,16,16,21,10,15,4,15,8,22,9,17,39,6,7,5,12,29,5,7,9,5,18,17,420,417,16,24,109,23,51,7,13,1207801,4396,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,253.9123077,253.9143219,0.935185373,0.89326328,0.935159385,-2.576585293,-0.729828954,0,0.001589256,0,0.001142975,0.997267769,0.00187686,0,0.001746281,0.99637686,0.168107438,0.168087603,0.168323967,0.495480992,0.332727273,0.336238017,0.331029752,4.96E-06,0.33141157,0.335735537,0.332846281,6.61E-06,6.94E-05,0,0.000629752,0.999300826,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,163.0859994,192.8604848,0.874204557,0.328729209,0.726606354,-1.395974487,0,1100,1,1100,1,1100,8,1100,1,1100,1,1100,1,1100,22,0.053997423,0.051327198,0.30822795,0.04971929,0.054538505,0.057280511,0.011221777,0.013060186,0.012364708,4.200663509,3.465522071,3.577542468,0.072605065,2,0,0,1,0,1,2,0,0,248,0,0,219,225,292,264,0,0,0,0,0,0,0,0,0,0,0,0.415002479,0.584997521,0,0,0,0,0,0,0,0,0,13,9,9,9,9,9,13,0,0,active,0
3,5,7,4,31,4,9,13,12,14,4,5,2,15,7,14,15,4,5,4,13,14,5,10,7,9,12,13,214,97,7,13,105,14,22,17,3,3215,210.9949477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.3721924,254.372467,0.935998142,0.894352436,0.935974181,-2.599750996,-0.63434875,0,0,0,0.000217355,0.999782645,0,0,0.000709917,0.999290083,0.167090083,0.167136364,0.167257025,0.498516529,0.332657851,0.337709917,0.329628099,4.13E-06,0.336418182,0.335066116,0.328489256,2.64E-05,0,0,0.000168595,0.999831405,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.87509836,0.329008328,0.564157466,-1.500191691,0,1100,1,1100,1,1100,3,1100,1,1100,1,1100,1,1100,10,0.051308873,0.051215584,0.30728102,0.049627954,0.056633608,0.050229041,0.009727257,0.012071626,0,4.171298871,3.359115085,3.6230183,0.01967594,2,0,0,2,0,2,2,0,0,204,0,0,196,121,198,195,0,0,0,0,0,0,0,0,0,0,0,0.136791736,0.863208264,0,0,0,0,0,0,0,0,0,18,15,11,15,16,15,18,0,0,inactive,0
4,5,31,4,30,16,18,23,9,10,3,29,15,32,17,49,55,2,2,2,14,32,5,8,7,5,19,5,6,11,8,20,134,24,113,41,9,6271.5,306.0071403,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,253.6742554,253.677536,0.93456924,0.892707586,0.934546709,-2.572105408,-0.894385099,0,0.003269421,0.000314876,0.001729752,0.99468595,0.004747934,0.000552893,0.003158678,0.991540496,0.168866942,0.168218182,0.168418182,0.494496694,0.340644628,0.332000826,0.327350413,4.13E-06,0.32755124,0.337305785,0.335139669,3.31E-06,0.000233058,0.000182645,0.001265289,0.998319008,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,158.2450742,194.2649902,0.871863123,0.32858348,0.714865742,-1.403410497,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,36,0.057599095,0.053776089,0.310294402,0.049814418,0.062136847,0.060873807,0.012730226,0.015572406,0.015439566,4.21455366,3.572977734,3.785916313,0.082237028,2,0,0,0,1,2,2,0,0,428,0,0,312,331,414,431,0,0,0,0,0,0,0,0,0,0,0,0.488828099,0.511171901,0,0,0,0,0,0,0,0,0,13,9,9,9,9,9,13,0,0,active,0
5,8,28,6,53,8,12,116,9,139,1,19,11,2,11,17,30,2,2,2,9,25,4,7,14,2,17,10,5,6,16,16,153,20,59,29,7,3184,211.4802289,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,253.9325409,253.9416199,0.935333133,0.893473983,0.935311317,-2.588224173,-0.804410756,0,0.00155124,0,0.000999174,0.997449587,0.001702479,0,0.002161983,0.996135537,0.167552066,0.167654545,0.167920661,0.496872727,0.331804959,0.336363636,0.331827273,4.13E-06,0.334779339,0.333476033,0.331734711,9.92E-06,7.19E-05,2.31E-05,0.000545455,0.999359504,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,124.2814075,184.2309665,0.873242421,0.328783185,0.641040209,-1.418007134,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,15,0.054973169,0.052072314,0.308825452,0.049791825,0.058651411,0.055483228,0.011938983,0.015400457,0.014906171,4.189709998,3.440693124,3.717818088,0.049019408,2,0,0,2,2,2,2,0,0,297,0,0,266,239,304,292,0,0,0,0,0,0,0,0,0,0,0,0.275402479,0.724597521,0,0,0,0,0,0,0,0,0,14,22,12,11,11,10,14,0,0,active,1
6,6,26,6,39,11,7,14,12,4,2,15,9,7,11,29,10,3,2,3,18,30,5,10,8,4,21,9,4,3,9,9,139,22,58,24,6,3247,212.6518018,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,253.8828735,253.8890228,0.935003817,0.893078387,0.934963286,-2.583869457,-0.873540521,0,0.001685124,0,0.001009917,0.997304959,0.002308264,0,0.002070248,0.995621488,0.167933884,0.167797521,0.168112397,0.496156198,0.335900826,0.333506612,0.33058843,4.13E-06,0.333390083,0.335481818,0.33111157,1.65E-05,7.02E-05,0,0.00051405,0.999415702,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,137.407179,188.2319209,0.872330761,0.328678539,0.657114996,-1.419250518,0,1100,1,1100,1,1100,7,1100,1,1100,1,1100,1,1100,29,0.055509714,0.052219569,0.309324381,0.049797002,0.058046518,0.056818407,0.012143843,0.013413571,0.011990003,4.198384377,3.497423377,3.774550105,0.058379012,2,0,0,2,1,2,2,0,0,384,0,0,267,250,375,343,0,0,0,0,0,0,0,0,0,0,0,0.350680165,0.649319835,0,0,0,0,0,0,0,0,0,14,12,12,9,9,10,14,0,0,inactive,1
7,4,25,5,52,6,4,113,13,3,1,15,8,15,12,21,13,1,2,3,16,43,5,10,9,4,21,6,6,3,7,11,135,29,32,17,21,3315.5,216.8944424,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,253.9520111,253.9562531,0.935224593,0.893309295,0.935204208,-2.584938049,-0.815354526,0,0.001559504,0,0.000982645,0.997457851,0.002059504,0,0.00207686,0.995863636,0.167790083,0.167738017,0.167975207,0.496496694,0.332890083,0.334766942,0.33233719,5.79E-06,0.333357025,0.33452562,0.332104132,1.32E-05,8.93E-05,3.88E-05,0.000595041,0.99927686,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,138.9981979,189.4993084,0.873167361,0.328740984,0.654718319,-1.398175303,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,30,0.055130348,0.051858414,0.309087979,0.049805722,0.059127799,0.056668799,0.011940168,0.01227528,0.012071626,4.194300825,3.471927045,3.733967481,0.057225205,2,0,0,2,2,2,2,0,0,366,0,0,282,258,359,377,0,0,0,0,0,0,0,0,0,0,0,0.339438843,0.660561157,0,0,0,0,0,0,0,0,0,13,9,9,9,9,9,13,0,0,inactive,1
8,4,21,4,39,7,4,1,12,4,1,16,9,12,12,16,10,1,4,3,18,24,4,7,11,4,13,4,8,5,9,21,176,11,35,13,4,1975,166.8528123,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,254.0547943,254.0593719,0.935582221,0.893657386,0.935555935,-2.588260174,-0.710860312,0,0.001245455,0,0.000654545,0.9981,0.001404132,0,0.001409091,0.997186777,0.167595868,0.167661983,0.167742975,0.496999174,0.333269421,0.336416529,0.330309091,4.96E-06,0.33271405,0.333946281,0.333336364,3.31E-06,4.63E-05,3.06E-05,0.000533058,0.999390083,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.874578487,0.328830227,0.659833628,-1.40128487,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,25,0.053628338,0.050799469,0.308130733,0.049759263,0.057494259,0.054596634,0.010988529,0.01227528,0.012030826,4.187803154,3.438427018,3.619726062,0.049232075,2,0,0,1,0,2,2,0,0,321,0,0,249,228,304,290,0,0,0,0,0,0,0,0,0,0,0,0.271103306,0.728896694,0,0,0,0,0,0,0,0,0,13,9,9,9,9,9,13,0,0,inactive,1
9,11,19,12,64,9,17,114,11,182,2,19,11,5,19,15,30,1,2,1,18,27,5,8,15,2,16,10,4,3,12,11,159,21,68,38,26,3234,213.4802289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.1198273,254.1201477,0.935165405,0.893238842,0.935133755,-2.586996317,-0.843120635,0,0.000273554,0,0.00061405,0.999112397,0.000617355,0,0.001342975,0.998039669,0.167732231,0.167733884,0.167893388,0.496640496,0.334939669,0.335543802,0.32951157,4.96E-06,0.333328926,0.334917355,0.331753719,0,3.47E-05,0,0.000409917,0.999555372,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.87265429,0.32871969,0.62132935,-1.408267098,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,28,0.054735019,0.05471199,0.30925994,0.049807681,0.061092912,0.056441787,0.012267038,3.41E-05,0,4.193851792,3.461330592,3.788063842,0.053048123,2,0,0,2,1,2,2,0,0,373,0,0,288,273,359,386,0,0,0,0,0,0,0,0,0,0,0,0.291681818,0.708318182,0,0,0,0,0,0,0,0,0,13,11,10,9,9,9,13,0,0,inactive,0
