"ID","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumUnspecifiedStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","Class"
"CHEMBL105267",3.0271800000000013,95.73740000000005,143.00805236539637,62.279999999999994,321.4240000000001,321.184112356,4,2,6,1,4,0,4,24,47,1,0,3,2,1,1,0,1,1,2,0,0,0.35,13.818818860479325,8.457653699980133,6.264909130743164,4.397882802301704,3.0247079809990534,8.457653699980133,6.264909130743164,4.397882802301704,3.0247079809990534,-2.3499999999999996,16.505767468678624,7.959719009006984,4.34744247029096,"inactive"
"CHEMBL105483",3.9052000000000033,113.57700000000006,172.51885455936562,51.24000000000001,398.50300000000016,398.22055744,6,0,8,0,5,1,6,29,59,0,0,3,2,1,1,0,1,1,2,0,0,0.43478260869565216,17.30307675586476,10.206681959693768,6.982503205162461,5.063377942276953,3.374070484182608,10.206681959693768,6.982503205162461,5.063377942276953,3.374070484182608,-2.729999999999999,20.99031420699558,10.715834784261995,6.123881860745419,"inactive"
"CHEMBL105762",4.866980000000004,101.56900000000005,150.39804589717681,36.26,334.4630000000001,334.204513452,3,0,6,0,3,0,3,25,51,2,0,3,2,1,1,0,1,1,2,0,0,0.4090909090909091,15.11171207929278,9.162963152486697,6.928765535379419,5.165552307981911,3.607216729297389,9.162963152486697,6.928765535379419,5.165552307981911,3.607216729297389,-2.3099999999999996,17.51101903210995,8.180474804718632,4.405415696671881,"inactive"
"CHEMBL10602",3.3801000000000023,73.28100000000005,103.70809945335081,3.24,225.335,225.151749608,1,0,4,0,1,0,1,17,36,0,0,2,2,0,0,0,0,0,2,0,0,0.25,10.505173337772392,6.017620721716161,4.636196376175876,2.951605394453228,2.1391104263813574,6.017620721716161,4.636196376175876,2.951605394453228,2.1391104263813574,-1.5999999999999996,11.872932778108272,5.646047689754565,3.1768595041322323,"inactive"
"CHEMBL1078240",3.612400000000001,126.47690000000003,197.40350610749445,119.91999999999999,495.0010000000002,494.139068644,9,3,8,2,8,0,11,33,60,0,0,4,3,1,1,1,1,1,2,0,0,0.4090909090909091,20.07839950518517,12.604309123327255,9.864410468224783,6.973438771874374,5.048060588616853,10.680025172396466,7.927365399180178,5.597861271236429,3.9655096573889383,-2.5299999999999994,23.622252162905315,9.760481652514837,5.520271756500138,"inactive"
"CHEMBL1087089",4.032900000000003,94.70700000000004,141.28307446622898,21.060000000000002,323.415,323.179775924,3,0,3,0,3,0,4,24,46,1,1,4,3,1,1,1,1,1,2,0,0,0.35,13.951291588148475,8.58674890140636,6.7727231157227425,4.927650233027715,3.7215126603591435,8.58674890140636,6.7727231157227425,4.927650233027715,3.7215126603591435,-2.1999999999999997,15.334859521331946,6.36249804937424,2.9386052136522447,"active"
"CHEMBL1090186",3.558900000000002,103.78800000000005,155.23364648932034,47.480000000000004,353.46600000000007,353.210327104,5,0,7,0,5,0,5,26,53,1,0,3,2,0,1,1,0,0,1,0,1,0.42857142857142855,16.243559326125002,8.935739118607616,6.942904905034536,4.975828934327453,3.669728295616643,8.935739118607616,6.942904905034536,4.975828934327453,3.669728295616643,-2.4,18.392846679687498,7.871432410642302,3.580034057710635,"active"
"CHEMBL1090526",3.6894000000000027,97.19400000000005,147.9206945483431,38.25000000000001,341.43,341.190340608,4,0,6,0,4,0,5,25,49,1,0,3,2,0,1,1,0,0,1,0,1,0.4,15.213275508670364,8.512348919416436,6.721296389643081,4.730708278482948,3.53496132187315,8.512348919416436,6.721296389643081,4.730708278482948,3.53496132187315,-2.2699999999999996,17.54973874251132,7.314628909375592,3.562222759339006,"active"
"CHEMBL1090527",4.347300000000004,90.72400000000005,134.86292249390456,16.130000000000003,316.445,316.140947892,2,0,5,0,3,0,4,22,43,1,0,3,2,0,1,1,0,0,1,0,1,0.3888888888888889,14.082558494098132,8.487650013105842,7.066924420859698,5.216107917754867,3.884568938355893,7.607997201850947,6.140780187257702,4.257854365617757,3.179735933069272,-1.5199999999999998,15.378544851255683,6.306099881093938,2.986797317803701,"active"
"CHEMBL1091069",4.560800000000004,102.38900000000005,147.4581468091407,25.36,340.492,340.160934388,3,0,6,0,4,0,4,24,48,1,0,3,3,0,0,2,0,0,1,0,0,0.35,15.560436068745473,9.07052395102491,7.437689278535732,5.60604143645624,4.428995824019584,8.254027370097184,6.300939447849608,4.359695279381811,3.138934655553318,-1.9099999999999997,16.930714071918974,7.324575345007146,3.3016756944553105,"inactive"
